text,metka
Шошқа орыстар  не оттап  отыр.,1
Орыстар оиына келгенін аитады  әрине оилары таяз   кәпірлер емеспе,1
"Кытайлармен согысу керек, касык кан калганша, булай мал болып жургенше согысып бар болу керек немесе жок болу керек, намысты бермен согыс болса кашпайм озим шыгам",1
Қиналатын заман тумас үшін күреске шық.Бала шағаңның ертеңгі күні үшін күреске шық. Үкіметтен талап етейік.Саясатты өзгертейік,1
"Тірі өліктер,намыссыз той тойлағанына мәз,карны тойып. Ертеңін ойламайтын. Билікте отырғандар бәрі кінәлі,бейқам уйыктап жүрген біз кінәлі ",1
Ату керек тамырымен жойылғандай!,1
"Таджикистан шекарасында тоқтатұ керек.92-93 жж авған-тəжик шекарасында болдім.Қаұып төнсе тағі барұға дайінмін. КВПО-ПВ. КазБат. ",1
"Согысу керек кытаймен. Баска амалжок. Кырып тастау керек шетинен. Билик милик демей кыру керек шетинен. ",1
Адамды өлтіруге болмайды бірақ қытайды өлтіруге болады. Осы ұстанымды ұстанып айырумыз керек оңбағандарды,1
"Ауғанстан оңбаған мемлекет өмір бақи соғыс, қан төгу",1
"Қазақ тілге кедергі жасап жүргендер жоғарыда отырған орыс құлдар, дубәрәлар",1
"Қытай қазақтың жауы! оянн қазақ болмайтын нәрсе көруден бас тарт! Қытайға қарсы ақпараттық соғыс жүргізу қажет ",1
"Жауыз коммунистік қызыл жүйенің уымен уланып, жауызға айналған, сатанистік жемқор билік жойылмай, қарапайым қалықтың, сорлағаны сорлаған, сақтан Қазақ, аттан Қазақ! / ",1
"Қытайға-өлім! Донғандарды қытайға жер аудару керек! Оян, ҚАЗАҚ! ",1
ҚАЗАҚТАР ОЯНЫҢДАР ЖАУ БҰЛАР АЯМАҢДАР ІШТЕГІ ТЫҢШЫЛАР БҰЛАР!,1
Дүңгендерің таза қытай болды ғой бұларды жоқ қылу керек қайда біздің кнб пагон таққандар қатындар мен алысқанша міне сендерге жұмыс,1
"бундай санасыз доныздарды кайтармау керек, булар мангурттер",1
"Атом бомбасын жасау керек дереу, сонда ғана Иран мемлекеті сияқты келсең кел деп отырамыз. Баска мемлекеттер бонбан болса саудаласпайды деген бос сөз,өйткені Менделеевтің таблицасындағы элементтің бəрі бизде жатыр.",1
Кытайдагы казактарды алу керек емес керісінше сол казактар туратын жерлерді кайыру керек,1
"Надандар! Қазақ деген аттан садаға кеттiндер, хиджабтардыңмен бiрге жогалыңдаршы бетсiз дер! Арабтардың қулдаоы! Туптерiңе осы ислам жетедi",1
"Қандай сасық, жауыз, харам атажау қара қытай",1
"Кыру керек ,баска амал жок сиякты",1
кытайдын билигинен тауирго.шаригат жамандыкка шакырмаит егер шынымен шаригатпен баскарса,1
"Согысу керек кытаймен. Баска амалжок. Кырып тастау керек шетинен. Билик милик демей кыру керек шетинен. ",1
Ассаламағалейкум қазақ бір туғандарым. Ресей депутаты не отап отыр бізге әлі күнге дейін басынып келеді бізге басынбау үшін. Туран армиясы мен бірге  әскери жұмыс істеуіміз керек жәнеде жан жақты тейімді біз үшін..,1
Шошқа бастар,1
"Қазақстан Ресимен араны үзу керек,біз түркі тіліміз Түркиямен қарым-қатынасты жақсарту керек",1
"Оттай береди екенгой, биз казак каскыр шошкаларды жеп коямыз  тугин калдырмай,  Алла бар  биргемиз шукир...",1
"Тарихымызды  тен жартысын жойып, енди  жеримизге тисейін дедиме  мына шошкалар,  токтатпаса  бомайды буларды",1
Оронборды берiндер  деп талап кою керек Казактар дын жерi,1
"Мына орыстар бұға берсең сұға береді, асқақтаса асыласын ұқпай жүр ғой мықты қазақ бар екенін ататын, қалған қазақтың жері бар Алтай Орынбор Омбы қазақтың жері бар алатын есіне салатын қазағым бар",1
"Қытай бізге қауіпті емес, қазаққа келген зұлмат тек осы ОРЫС тардан келген..... Және келеде береді... Мысалы.... 1921-1923..... Ашаршылық.... 1918-1954..... Жаппай репрессия, ату қырғын сүргін..... 1931-1933.... Ашаршылық... 27 000..... Зиялы қауымының жазықсыз атылуы... 1941-1945.... Орыс үшін Қазақтың 500 000 еркек кіндіктінің оққа ұшуы.... 1986..... Жазықсыз жастардың қырылуы..... Бұл тарих бетіне шыққан деректер ғана.... Шықпаған қаншама, зұлмат қасірет жатыр.... Дінімізді, тілімізді, ұлтымызды, әдет ғұрпымызды, салтымызды, жойған ОРЫСТАРДЫ  сендер не деп жақсы көресіңдер? Міне сендерге орыстардың, қайта Қазақтың басына, қара бұлт үйгісі келіп тұрған, жаманшылықтың басы.... Құдай өзі, ондай пиғылды жауыздарға қарсы өзің жәрдем бере гөр..... Олардың, өздерін, жер бетінен жоқ қыла көр.... Әмин",1
Біздің елде ресми тіл орыс тіл болып тұрғанда әрине солай айтады. Мен ҚАЗАҚСТАН азаматы ретінде ресми тілде мемлекеттік тілді де ҚАЗАҚ тілі болуын талап етемін Тоқаев мырзадан!!!,1
"ал орыс тілді, қазақтар, мынаған не дейсіңдер?????",1
Канга кан,1
Қытайдан орыс әлде қайда қауыпты,1
Каяны жепти орыс шошка,1
"ия жерімізді оңай аламыз деп ойламасын орыстарды жеккөрем  😤 , қанша жылдан бері бізге тыныштық бермейді 1930 жылы 4 миллион қазақты ашаршылық пен құрткан 😤 біз оларға сонша не істеп койдық",1
Орыстар канша жеримизди алды Орынборды Астраханды Омбы Тобылды АлтайдыОралды енди тагы биздин жеримизге коз кадаса согыс болады Бул курып кеткир Орыспен кытайдан сактанайык Ел азаматтары естеринди жиып биригиндерши алтау ала тортеу тугел болса барин женемиз,1
"Түрікпен 😃 алдымен өзіміз бірігіп алайық, әйтпесе түріктердіде ыдыратып руға, жүзге бөліп жіберуіміз мүмкін. Бәле орыстан емес өзімізден.",1
Мектептерден садиктерден орыс тілін алып тастау керек. Әбден басқа минди. Солтүстік Қазақстанда орысша аттарды өзгерту керек Қызылжар деп..,1
Дос емес жауымыз ол біздің брат  олар азия елдерін кореалмаи отыр,1
Орыстын ойы ішде бир қулыгы бар,1
"Тұран бірлестігін құру керек, өзінің ішкі арам ойын бір ашып алған сияқты, керісінше Россияда біздің көптеген жерлеріміз тұр, арандатуын қойсын",1
"Тұран бірлестігінде болсақ, көршілерде бізбен санасатын болады. ""Алтау ала болса – ауыздағы кетеді, төртеу түгел болса – төбедегі келеді""",1
Біздіңде депутаттар осы орыстың шошқалары сияқты.,1
"АНСАМАСЫН ШОШКАЛАР,ОЗ КАЗАГЫМНЫН ЖЕРЫ УШЫН КАСЫК КАНЫМ КАЛГАНША БЕРЫЛМЕСПЫН.ОЛАР КЕТСЫН НААА.",1
Он.баган орыстар 👎🏿👎🏿👎🏿👎🏿👎🏿🙈,1
"Ия, айтқаныңменен келісемін... Бірақ бізге, орыс қытайдан қарағанда өте қауіпті",1
"Бөлуге болмайды, екеуі де бірдей қауіпті. Қытайды əдістерін тіптен адам ойлап тапты деуге келмейді, қатыгздікі де адам сенгісіз.",1
"Сенде    Аитады   екенсің  ,  Ең    қауіпті    Қытай  ,    Қытайдың     тамағында     жұтылып    кеткеніңді    білмеисің  ,",1
Бауырым оларда сен ойлағандай сезім бар мекен орысқұлдарда намыста сауатта жоққой.,1
"Оларға бәрібір, мәңгүрттерде намыс жоқ!",1
Дұрыс айттың бауырым бірақ мәңгүрт сатқындар Қытайды жаман қылып көрсеткісі келеді орыстың кремльдің тапсырмасымен соған мәңгүрттер ереді.,1
Орыс мектептер санын барынша азайту керек.,1
"Солай деседе  ""Әй дейтін әже",1
Əкімдер депутаттар тезірек қала ауыл атауларын қазақша ауыстырыңдар ауыздарыңды ашпай қорқақ  арам тамақтар,1
Сол местный орыстыр хат жазып отыргой сол Жирикке,1
Орыс ата жауымыз!,1
Ресеймен дос болганша Турікпен дос болайық,1
Казакстаннан орыстарды куу керек. Басы истейтин халыктар  орыстарды алде кашан куып жиберген.,1
Бүйте берсеңдер Қазақстанда орыс қалдырмаймыз. Бәрін қуып шығып,1
Солтүстік өңірге үкіметтің Қазақы саясат жүргізу бастамасын қолдаймыз  !,1
Ресей Қазаққа адал дос болмайды.  Тұран одағын құру асыл мақсатымыз екенін ұғыну қажет Қазағым  !,1
Жүз жыл атан болғанша бір күн бура бол деген бұрынғы өткен бабаларымыз. Дұрыс басшы керек қазаққа.,1
Қазақстан республикасының Конституциясынан Орыс тілін алып тастау керек.,1
Антикитайски митингке шығатын батырсымақтармыз қайда???? Шықсын ал орысқа қарсы,1
Жириновский көп шайнамасын.Оны Қазақстаннан көрсек басын кесіп аламыз да.Ресейден келетін жағына басын іліп қоямыз.,1
Шəйнəпсің кел соғысқа дайынбыз атаңа нәлет имансыз. Көргенсіз,1
Сол Павлодардың орыс тұрғындары жириновскиге хат жазғаны анық. Сепоротистер жұмыстанған.,1
Бар күшті салып мəңқұрттардан құтылыу керек. Сонда жириктерде қысып жүретін болады.,1
Бiзге Атом бомбасы керек,1
Тордың ішіне отырғызу керек!,1
Жириновский мырза деп неменесіне сыпайылық танытасың,1
РФ мен соғыс керек,1
меніңше жауаб ретінде орыс тілін құрту керек орыс  мектептерді жауыб тіпті тыйым салса жақсы болар еді біздің орыс құл бійліктің ондай әрекет жасай алмайтынын білем ойткені атауы айтыб тұр орыс құл бійлік деб,1
Казакстан га ен бырыншы Атымный бомба кыргызу керек Военный Техниканы дамыту керек Акшаны Военный техника га болу керек кара нан мен кара шай ышып отсан да.,1
Ел басына ұлтшылдар келмей ештеңе өзгермейді. Сүмелек биліктен қайыр жоқ.,1
Ресейден мүлде ажырау керек.  Тез арада.,1
Не пікір айтайын,1
Басын  кесіп тастау керек еды мынаның,1
Бізде намысы жоқ сатқындар барлығы орыс тілінде сөйлейді,1
Басын алып,1
Ел ышинде орыстарды олтру басталады билктеглер анажакка жауап каитармаса,1
Согыс аша салайык,1
Мені қаржымен қолдасаңдар  атып келуге сөз берем,1
Ресей спутник тарелкаларга шектеу кою. Сепаратистттерди осирип отырмыз,1
Снайпер тауып берiндершi,1
Айдау керек мұсылман дінін жамылған қытайларды,1
Бейшара үкімет басындағылардың əдеті,1
Тоқтамау керек бір бет ашылды аяма донған иттерді қорықпаңдар,1
Куып шығындар донғандарды жарайсындар,1
Бул биликти куртыу керек одан баска озимз курыймыз,1
Басқа ұлттар неге бізге проблема создават етеді қазақтар айырайық,1
Дунган кытайымен косып курту керек,1
Алга казак   орына  койатын кез келди  алга казак,1
Создын кыскасы шыгару керек кытайларына әлде бастарын алыу керек,1
Дунган халқын күртү керек казақстанан мүлдем қү керек,1
Дунганды тек елден курту керек,1
Дунгенге алы корсетемыз,1
қытайларына доңыз дүңғанды қуып шығыу керек,1
Айыру керек,1
Шириген биликти кулату керек биринши,1
Айуандарды  қуып  жіберу  керек  елден  болмаса  қазақтарды  силауды  үйрету  керек  талап  қойу керек,1
Короче агайындар шал олгенше шыдайык сосын бастарын кесып тастайык булай калдырмаймыз ойян Казах бауыларым,1
Дунгандар жынды болса жындыханға жатқызу керек дакументереі даиын екенғои.,1
1дүнгенді қазақ жерінен қуу керек кетпесе қыру керек,1
Тунгантарды ату керек,1
Туды ортеген дима??? жигиттер бирикпесек болмайды,1
Е казактар кыргыздар мна дунгендерды сабаиык екы жактап малдар орнына коияиык или кырып тастаиык,1
Езулеринди айырып кетсин дунгенднр,1
Халайық  дунған дар кімдер олар соншалықты  Қазақ жерінде жүріп қазақша оқымайтын заңға бағынбаса  бəрін айдап салайық  шекара ашық шығып кетсін Шшс дер оданары кетсін,1
Тоңғандарды келген жағына қайтару қажет. Әдемілеп шығарып салып,1
Сумелектерді урын бутағымен шығару керек Казахстаннан уятсыз ана ешкілерде уят деген жок екен көгермегірлер,1
донгандар асылыңдар,1
Казағым айда айда дунганди,1
түгел қуып шығу керек қайта кіргізбеу керек басынып болған балақтағы бит басқа шықты деген осы қыру керек түгел менттармен қосып,1
бул жигиттер де оздеринше намысшыл болып турган жери го сонда мыкты болса шыкпайма Дункан га карсы молда сымактар,1
Барекельды   жигыттер  дунгенды   коздерын  куртаик   КАЗАКТЫН   ЖЕРЫНЕН,1
Ойстип Астана каласын копарып тастасаго биликтегилердин барин жоятын жаны ашымайтын оз жерлерине билик сымактарды осылай куып жиберу керек олар ертен все ровно казактарды кинали кылып шыгарады,1
Айыру керек кайда жургенын былып койсын,1
Канишерлерди тауып халыктын колына берсин,1
Билікті төңкеру ғана қалды. Әйтпесе былыққа батып болды,1
істі дұрыс бағалап. ЧЕШЕНДЕР АЙЫПТЫ БОЛСА . АТАЙЫҚ. ДӘЛДЕП АТУҒА БОЛАДЫ ҒОЙ.,1
Митинкыге шығып Халық бар талабын қою керек ал шешпесе төнкору керек!,1
Суретте салыңдар тез табамыз көрге тыгамыз.,1
Қызғыздар жарайсындар дұрыс біріксек любойын айырамыз Қырғыз Қазақ бір туған,1
"Дагыстан мен шешендер сыйламайд казактарды айтып жургендери жай соз сыйлаймыз деп оларды аямау керек ",1
Митинг алга Казахстан,1
Құтырып кеткен,1
БИЛІКТІ ТӨҢКЕРУ КЕРЕК ДЕЙДІ,1
Мирзияев ит екенсин өз халқыңа жаның ашымайды екен Қазақтарға өкпелерің жоқ шығар,1
Қазір бізде Атом бомбасы болғанда басқа елдер санасатын,1
Мәжбүрлі вакцинацияға қарсы ештеңе жасай алмаймын. Өйткені оның жарнамасы да,1
Ондай болайык десек билик упаковать етип тастап жатрго,1
Керек емес доғанба дүнен,1
Дүнген көрсеңдер ұрып кетіңдер,1
олардың үнін өшірейік бауырлар,1
Жирикті атып келейік,1
Шешендер неге қазақстанда құтырып жүр,1
Осы адамды олтирип тастайтын бауырларымыз кайда) шешендерден жаман коркады биледи олардын кандай екенин,1
Оларды атайдық,1
"Мә жақсы болды ғой қару әкеліп берсе күшті болар едді. ",1
"Келсе келсін қара қытай кіргенше тәлібтер кірсін .Оргынға сатылмай ашық шайқаста шейт болған дұрыс.   ",1
Қырып тастаңдар,1
"Қаныңда жауынгер деген қан жүргіріп тұрса ұстай алмайсың оны. Керісінше көрсін қазақтарға қарсы шыққан адамдарды не күтетін ",1
"Талипті қытай мен орыстар қолдап отыр біз Түркиямен одақ құрамыз. ",1
"Кім айтты сендерге радикал деп талибті.Оларда мусульман халқы ғой. Нағыз Радикал сендер сияқты СМИ лер. ",1
"Қазақтар ешқашан берілмейді. ",1
Бауырларым ұйғыр халқы Қазақстан үшін көп қызмет көрсетті Бұл бір ғана аудан біз деген бір болумыз керек Синзянда қазақтар 1млн Ұйғыр мен қазақ бауыр ол жерде ешкім кет демейді биз бауырлар ұрысжойылсын,1
Бәле шығарсыңдар тағы нени калдырайык Казак шешеди ауыстырылсын аты Казактын небир батыры жатыр аты шыкпаган койсын сол кисилердин Атын бәле болды ғой Казак жеринде кангып келген кузгын карга шешим шыгарып,1
АЛЛАҒА ШҮКІР деңіздер ұйғырлар қажет болса қазақша сөйлейсіңдер. Қазақтар мен дауласып әлек болмаңдар қуылып кетесіңдер халықпен ойнамаңдар,1
"Ұйғыр ауданы өзгертілсін. Тойларда ұйғыр туларын, көліктерге ұйғыр туларын іліп, жер, су Алланікі деп, ашықтан ашық Қазақ Елін мойындамауы, ұйғырша жазамын деп Қазақ тілін мойындамауы, тем более шекара да орналасқан қауіпті аудан болған соң аты өзгертілсін. Ұйғыр ауданы, Шонжы, Бахар ауылдары, Қордайдағы Масанчи ауылдарының аты түбегейлі өзгертілсін.",1
БАСЫМДЫ ШАЙҚАЙМЫН ұйғырларға. Ээээ ұйғырлар ҚАЗҒАН ОРЛАРЫҢА ӨЗДЕРІҢДІ ҚАНДАРЫҢА БАТЫРАМЫЗ. ДОБРО БЕРСІН ҰЛТ РЕТИНДЕ ЖОҒАЛАСЫҢДАР ДАЛБАЕП ҰЙҒЫРЛАР. СӨЗ БЕРЕМ.,1
Өтірік мөлайсынып қалыптығой көрдіккой уйғырстан қурамыз осы жерге деп атойлап шыққан осы немелер өзгерту керек,1
"Сен қонақсың кет Қытайға отаның сол жақта сенің ! Әкең Қазақ болса қаның Қазақ болуы керек топас. жеті атаңды жатта ",1
"Шынында да бүкіл жер шары осы ұйғырлардың жағдайын айтып жан ашырлық танытуда,ал бұлар болса өздері барып тиседі де сосын аттан салып жылайды.Ұяттары жоқ совсем.Біздің Қазахстанның ұйғырлары да құтырып алған кейінгі жылдары,бәле іздеп тұрады",1
уйгырдын Жеры де Мемылекеты де жок. Сондыктан барлых уйгырдан Азаматыхтты алып тастаган жон болады. кутырган иттей болып жур. ату керек бундайда,1
Ұйғырдың жазасын қытай берсін,1
Уйгыр нашар халык кытайда тыныш дурыс журмейди. Ещё казахстанда биздн казах жигеттери пышактайды болек автономия сурамак уйгыр районы шонжы. Еки атауды озгерту керек казахша га. Унамамай биздн зан жол ашык кытайга. Коремиз Ким жаксы екен ен. 🇰🇿🇰🇿🇰🇿🇰🇿Слава Казахстан,1
осы ұйғырлар кесірінен қытай басқа кытайдағы мусылмандарғада тыныштық бермей жатыр,1
Уйгырлар котеринди кысындар казакстанга не жасадындар атак ие болатын дай кангыбастар кай а кангйсындар сыйлаганды билин,1
Кытайда уйгырлар осындай булик шыгарып. Сосын казахка айдап салады. Сол уйгырларда кесирен казах халкы зардап шегип отыр. Бир оздери тыныш журмейма. Казахстанда абден семирген булар,1
